TEAM,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,logo image,LAT TEAM,LONG TEAM
Houston Rockets,24.394444444444446,49.111111111111114,18.538888888888888,18.48888888888889,13.505555555555555,115.44444444444444,0.7759444444444444,259.27777777777777,0.5207777777777778,145.5,0.2717222222222222,0.5025,0.5418333333333334,8.344444444444443,3.4055555555555554,1.7999999999999998,0.5388888888888889,0.3611111111111111,1.1388888888888888,11.738888888888889,10.133333333333333,13.533333333333333,7.138888888888889,112.97777777777777,113.8111111111111,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Rockets.svg/1200px-Houston_Rockets.svg.png,29.762777777778,-95.383055555556
Indiana Pacers,25.78,43.2,19.240000000000002,18.235,13.434999999999999,97.2,0.7478,215.75,0.54745,151.5,0.3016,0.52925,0.55745,8.879999999999999,3.3200000000000003,2.08,0.63,0.5,1.03,12.195,10.965,14.27,7.31,112.35499999999999,111.39000000000001,https://upload.wikimedia.org/wikipedia/fr/4/48/Pacers_de_l%27Indiana_2017.png,39.768611111111,-86.158055555556
Los Angeles Clippers,28.95714285714286,41.095238095238095,20.45714285714286,19.933333333333334,14.014285714285714,93.42857142857143,0.6891428571428572,205.95238095238096,0.5225714285714286,130.1904761904762,0.32171428571428573,0.5429047619047619,0.5701428571428572,9.742857142857142,3.604761904761905,2.3238095238095235,0.6047619047619047,0.3523809523809524,1.2285714285714286,13.338095238095239,12.066666666666666,15.652380952380952,7.661904761904762,114.63333333333334,108.81904761904761,https://a.espncdn.com/i/teamlogos/nba/500-dark/lac.png,34.05223,-118.24368
Los Angeles Lakers,27.22083333333333,35.791666666666664,19.033333333333335,17.391666666666666,11.791666666666666,90.91666666666667,0.6656666666666667,197.54166666666666,0.49704166666666666,106.58333333333333,0.3172916666666667,0.5229583333333333,0.54475,8.816666666666666,3.6666666666666665,1.9000000000000001,0.525,0.35833333333333334,1.0250000000000001,12.487499999999999,10.729166666666666,14.395833333333334,6.675,111.08260869565218,106.95652173913044,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/1200px-Los_Angeles_Lakers_logo.svg.png,34.05223,-118.24368
Memphis Grizzlies,24.847368421052632,46.73684210526316,21.152631578947368,17.778947368421054,14.763157894736842,102.84210526315789,0.6498947368421053,249.68421052631578,0.49978947368421056,147.73684210526315,0.29857894736842105,0.531578947368421,0.548578947368421,9.078947368421053,3.8894736842105258,2.3263157894736843,0.7894736842105263,0.4263157894736842,1.1473684210526316,12.968421052631578,11.394736842105264,15.294736842105264,7.342105263157895,111.6157894736842,105.57368421052632,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,35.1175,-89.971111111111
Miami Heat,28.455000000000002,38.65,20.705000000000002,17.955000000000002,13.145,94.25,0.7476,206.95,0.5472,142.6,0.28475,0.5237,0.5574,8.77,3.6350000000000002,1.845,0.7,0.31,1.06,12.4,10.625,14.245,6.5,111.44000000000001,104.72,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,25.783333333333,-80.216666666667
Milwaukee Bucks,30.23333333333333,42.904761904761905,18.928571428571427,18.214285714285715,14.052380952380954,87.47619047619048,0.7987619047619048,195.57142857142858,0.5281428571428572,157.38095238095238,0.3418095238095238,0.5357619047619048,0.5645238095238095,8.79047619047619,3.7095238095238097,2.0142857142857142,0.4714285714285714,0.3333333333333333,1.1285714285714286,12.495238095238093,10.799999999999999,14.504761904761907,7.366666666666666,113.5904761904762,106.76666666666667,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Milwaukee_Bucks_logo.svg/1200px-Milwaukee_Bucks_logo.svg.png,43.05,-87.95
Minnesota Timberwolves,26.185000000000002,43.35,19.119999999999997,19.16,12.775,97.1,0.7556499999999999,221.8,0.5837,136.55,0.3127,0.57325,0.60375,9.09,3.19,2.1149999999999998,0.6,0.39499999999999996,1.1199999999999999,12.285,11.22,14.415000000000001,6.85,114.99473684210527,108.62105263157896,https://upload.wikimedia.org/wikipedia/fr/d/d9/Timberwolves_du_Minnesota_logo_2017.png,44.98194444444445,-93.26916666666666
New Orleans Pelicans,26.476470588235294,49.76470588235294,20.811764705882354,19.094117647058823,13.152941176470588,117.6470588235294,0.7298823529411764,277.0,0.5218235294117647,145.0,0.3264117647058824,0.5368235294117647,0.5712352941176471,10.08235294117647,3.711764705882353,2.2529411764705882,0.7411764705882353,0.3588235294117647,1.2529411764705882,13.782352941176471,12.33529411764706,16.041176470588233,7.364705882352942,116.24375,106.1125,https://upload.wikimedia.org/wikipedia/fr/thumb/e/e2/New_Orleans_Pelicans_2023.png/260px-New_Orleans_Pelicans_2023.png,29.976111111111116,-90.07833333333332
New York Knicks,25.741176470588236,48.23529411764706,20.16470588235294,17.676470588235293,12.24705882352941,122.76470588235294,0.6687647058823529,258.70588235294116,0.46,172.35294117647058,0.3117058823529412,0.5406470588235295,0.562,9.105882352941178,3.7470588235294118,1.8352941176470587,0.5705882352941176,0.3470588235294118,0.9705882352941176,12.864705882352942,10.947058823529412,14.694117647058825,6.394117647058824,119.72857142857143,108.77142857142857,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/New_York_Knicks_logo.svg/1200px-New_York_Knicks_logo.svg.png,40.7,-74.0
Oklahoma City Thunder,24.026315789473685,47.31578947368421,19.594736842105263,18.094736842105263,11.494736842105263,102.3157894736842,0.6948947368421052,252.26315789473685,0.5473684210526316,147.1578947368421,0.34978947368421054,0.5383157894736842,0.5643157894736842,9.094736842105263,3.6263157894736846,1.8157894736842106,0.6684210526315789,0.37894736842105264,0.9684210526315788,12.710526315789474,10.9,14.536842105263156,7.273684210526315,114.86842105263158,108.1842105263158,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Oklahoma_City_Thunder.svg/1200px-Oklahoma_City_Thunder.svg.png,35.4823,-97.5352
Orlando Magic,24.645,42.4,20.36,17.994999999999997,14.375,102.5,0.7525000000000001,226.15,0.5357000000000001,127.55,0.369,0.5463,0.5770500000000001,8.9,3.7299999999999995,1.8350000000000002,0.6849999999999999,0.43,1.1800000000000002,12.620000000000001,10.709999999999999,14.45,7.13,112.845,107.535,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/orl.png,28.533611111111,-81.386666666667
Philadelphia 76ers,26.80952380952381,42.285714285714285,18.185714285714283,18.623809523809523,14.080000000000002,98.0,0.6103809523809524,199.71428571428572,0.5274285714285715,127.47619047619048,0.308952380952381,0.5504,0.5743,8.985714285714286,3.080952380952381,1.9714285714285713,0.6,0.3142857142857143,1.0571428571428572,12.052380952380952,10.942857142857143,14.019047619047617,6.4523809523809526,116.07368421052632,105.58947368421053,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Philadelphia_76ers_logo.svg/1200px-Philadelphia_76ers_logo.svg.png,39.952777777778,-75.163611111111
Phoenix Suns,28.325,44.9,21.14,20.215,12.235,89.05,0.7454,235.65,0.49844999999999995,133.8,0.3468,0.52815,0.55715,10.55,3.775,2.425,0.625,0.45999999999999996,1.135,14.305000000000001,12.969999999999999,16.735,7.984999999999999,114.05999999999999,107.295,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,33.44833333333333,-112.07388888888887
Portland Trail Blazers,25.325,34.5,22.579166666666666,17.395833333333332,13.520833333333334,84.20833333333333,0.6623333333333333,171.16666666666666,0.51625,120.54166666666667,0.33008333333333334,0.5251666666666667,0.5465,9.429166666666667,3.5583333333333336,2.4041666666666663,0.7333333333333334,0.44166666666666665,1.1541666666666666,12.970833333333333,11.816666666666668,15.354166666666666,6.645833333333333,110.58749999999999,112.89166666666667,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png,45.516666666667,-122.66666666667
Sacramento Kings,26.405,47.4,15.255,17.575,14.844999999999999,102.85,0.6096999999999999,208.75,0.5183500000000001,152.95,0.28975,0.526,0.5398,7.135,2.7199999999999998,1.645,0.45,0.24,0.8400000000000001,9.86,8.78,11.504999999999999,6.88,115.02631578947368,106.84210526315789,https://upload.wikimedia.org/wikipedia/fr/thumb/9/95/Kings_de_Sacramento_logo.svg/1200px-Kings_de_Sacramento_logo.svg.png,38.575277777778,-121.48611111111
San Antonio Spurs,24.508695652173916,38.69565217391305,20.565217391304348,18.743478260869566,16.64782608695652,75.6086956521739,0.7201304347826086,215.34782608695653,0.5314782608695652,114.78260869565217,0.2911739130434783,0.5172608695652174,0.5449565217391305,9.208695652173914,3.8347826086956522,2.334782608695652,0.5739130434782609,0.3565217391304348,1.3217391304347825,13.039130434782608,11.534782608695652,15.365217391304347,7.908695652173913,107.2304347826087,113.98695652173912,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,29.425,-98.49388888888888
Toronto Raptors,26.57,41.75,18.695,16.55,9.875,96.1,0.69845,243.15,0.54265,131.3,0.2771,0.54075,0.5656,8.205,3.3600000000000003,1.73,0.755,0.39,0.795,11.575,9.945,13.315000000000001,6.83,114.98421052631578,108.76842105263158,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Toronto_Raptors_logo.svg/1200px-Toronto_Raptors_logo.svg.png,43.670277777778,-79.386666666667
Utah Jazz,26.504347826086956,38.47826086956522,19.030434782608694,18.360869565217392,14.4,85.0,0.655608695652174,185.47826086956522,0.5452608695652174,134.69565217391303,0.3218695652173913,0.5361304347826087,0.5572608695652174,8.691304347826087,3.5521739130434784,2.1043478260869564,0.4869565217391304,0.3695652173913043,1.1304347826086956,12.252173913043478,10.808695652173913,14.365217391304347,7.065217391304348,111.6391304347826,110.83478260869565,https://logodownload.org/wp-content/uploads/2021/07/utah-jazz-logo-0.png,40.75,-111.88333333333
Washington Wizards,26.663636363636364,38.22727272727273,18.013636363636365,17.39090909090909,13.122727272727273,82.31818181818181,0.6887272727272727,201.0909090909091,0.4653181818181818,115.04545454545455,0.29295454545454547,0.4959545454545454,0.5279545454545455,8.068181818181818,3.2,1.9090909090909092,0.5590909090909091,0.36363636363636365,0.9727272727272728,11.263636363636364,9.968181818181819,13.168181818181818,6.709090909090909,108.01500000000001,108.92999999999999,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Washington_Wizards_logo.svg/1200px-Washington_Wizards_logo.svg.png,38.895,-77.036666666667
